source,target,weight
hatespeechradio,gaustenbooks,1
champagnemanoir,ruth_z,2
emperoranton,ohdoctah,1
emperoranton,micah,1
emperoranton,sarahrobinson,1
seattlelawgirl,go2girlevents,1
fridayluv,replies,1
susiecheng,kenrobbins,1
susiecheng,tornadotorino,1
susiecheng,ericbeard,2
susiecheng,randum20,1
susiecheng,trendy_golf,1
susiecheng,nachhi,1
susiecheng,asevideo,1
jaq518,retnev,1
jaq518,jason_pollock,2
xatstilo,francesamerikey,1
xatstilo,tracyreneejones,1
xatstilo,g_nizz,1
xatstilo,matt_369,1
xatstilo,livinlime,1
xatstilo,americanyard,1
teecrane,sarojaneb,1
khopkinson,changeisgood1,1
khopkinson,java4two,1
khopkinson,msfituniverse,1
khopkinson,jimwray,1
khopkinson,wholefoods,1
khopkinson,brennanannie,1
khopkinson,wannabeskinny,1
khopkinson,slkeeth,1
khopkinson,lalalalu,1
wow2000,thetazzone,1
davidbw,sharonhayes,1
davidbw,retnev,1
enamoredsoul,krist0ph3r,1
susanboylescat,cindyb327,1
susanboylescat,jo_inwa,1
susanboylescat,twitlookup,1
susanboylescat,fionas_mum,1
buyselldomains,sharonhayes,3
buyselldomains,retnev,1
area224,doggedpursuit,1
altro,bibledonate,2
shikhabirdie,youthpad,1
shikhabirdie,pappe_it_is,1
shikhabirdie,annkur,1
shikhabirdie,blingbang,1
shikhabirdie,kitz007,1
podgypanda,loupimentel,1
podgypanda,derivativeofu,1
podgypanda,bubblefriends,1
podgypanda,tokyobunnie,1
podgypanda,brutejonny,1
podgypanda,skinnyribs,1
podgypanda,64colors,1
podgypanda,lunabee_art,1
podgypanda,peskimo,1
podgypanda,benandfi,1
tracygardner,alblack,1
tracygardner,john,1
smartzombie,retnev,1
frjamescoles,liturgy,1
promedium,artrudenko,1
promedium,mironset,1
promedium,eudundosia,1
promedium,omally13,1
promedium,grangegrange,1
promedium,ieliseev,1
promedium,jessenewhart,1
promedium,mashable,1
getris,prizuy,1
bestfoodbaby,queenmisha,1
bestfoodbaby,adamfyre,1
peacefulwarrior,geoffwigz,2
outrage_designs,witchyangel11,2
themocks,manatmouse,3
themocks,aaronbyrnes,1
libertygrrrl,xceptn,4
libertygrrrl,denharsh,1
oh_danny_boy,americanwomannn,10
jennruss,angels510,1
jennruss,veronicadlcruz,2
jennruss,ri_guy,1
jennruss,organdonor4life,1
annamartins,jp_golfinhu,1
jhillstephens,joannematthews,1
gymsnearby,growline,1
gymsnearby,yoshkarola,1
gymsnearby,giversgayn,1
gymsnearby,jackgalt,1
odegarden,frifagbevegelse,1
odegarden,nestensivjensen,1
odegarden,dagterjea,1
odegarden,ingvildanita,1
odegarden,torgeirm,1
odegarden,eidsvag,1
odegarden,fmellem,1
odegarden,nicecap,1
odegarden,odarygh,1
odegarden,stigvoll,1
lakenormanhomes,msfituniverse,1
lakenormanhomes,tap29,1
lakenormanhomes,loveandemulsion,1
lakenormanhomes,positiveadaptn,1
lakenormanhomes,isrealdeep,1
lakenormanhomes,esoterismo,1
tolisv,paulonair,1
momentbymoment1,agooaustralia,1
momentbymoment1,tikibookids,1
momentbymoment1,y_c_monkey,1
momentbymoment1,molliemoo,1
momentbymoment1,lmstellapr,1
momentbymoment1,skouttradefair,1
momentbymoment1,bellybeyond,1
momentbymoment1,czarque,1
momentbymoment1,jobabybliss,1
momentbymoment1,min,1
checkandmate,candacearm,1
grfollowfriday,paulonair,1
doc_remy,donaldhardycrs,1
doc_remy,donnajfox,1
fizzlew,fakedonnie,1
topfollowfriday,ahahamilton9,1
topfollowfriday,emarketingguru,10
floetry,bluefinch,1
floetry,thehwicceman,1
bluefinch,webstl,1
the_grim_weeder,cathrynmcn,1
the_grim_weeder,shoes_in_herts,1
the_grim_weeder,buddinggenius,1
the_grim_weeder,shropshirepixie,1
the_grim_weeder,connanmimi,1
the_grim_weeder,pinktribble,1
the_grim_weeder,yummymammy,2
the_grim_weeder,ihaps,1
the_grim_weeder,baconbellyboy,1
hugonator,hollythehousewi,1
hugonator,hunnibeez,1
belovelloso,earthdayforall,1
belovelloso,tissheilah,1
belovelloso,buttercupd,1
belovelloso,jeaninedeal,1
belovelloso,vitalitylink,1
belovelloso,lovin_life,1
belovelloso,loupage,1
belovelloso,extremelyrich,1
belovelloso,darkpiano,1
belovelloso,xeduarda,1
ipodtouchdj,theexpert,1
colonelcrockett,aheartforgod,1
mk_woody,mabel1922,3
mk_woody,ivybean104,3
grantmc,mastershortie,1
belovelloso,ze_kleber,1
smarterpoker,freebettips,1
smarterpoker,eastendersnews,1
numitwite,tmarisco,1
jcrossland,jamonwhite,1
buddydogcast,mymanjbone,1
buddydogcast,leothebeagle,1
buddydogcast,borwin98,2
buddydogcast,mesatime,1
buddydogcast,ulladean,1
buddydogcast,sirbarley,1
buddydogcast,bigblackdogs,1
buddydogcast,missbusybiz,1
fridayluv,jimsmithcscs,1
foliosociety,florianseroussi,2
nishajl,mickyates,1
ruthmedia,essex_courier,1
leaser_r,thetazzone,1
leaser_r,ladyparadis,1
leaser_r,leonardoz,1
radiosite,belovelloso,1
radiosite,kappa704,1
radiosite,thehrgoddess,1
radiosite,planethealer,1
radiosite,wallybock,1
radiosite,laurajdaley,1
radiosite,a02toyota,1
radiosite,weizenbaum,1
radiosite,skincaredoc,1
dasmybaby,lovegift,1
dasmybaby,ditavonteese,1
dasmybaby,imogenheap,1
dasmybaby,sammyejdouglas,1
dasmybaby,vamparties,1
buddydogcast,alfieboonubbins,1
buddydogcast,petmayorcontest,1
buddydogcast,furrytravelers,1
buddydogcast,goldenmama,1
buddydogcast,karinfalkes,1
buddydogcast,3jacksdogbakery,1
amalari,thetazzone,1
amalari,actionchick,2
amalari,ajaxdriven,1
amalari,americanwomannn,1
tinainmelbourne,timmy_sabre,1
dgirl48_ang,rugbyjones,2
dgirl48_ang,donology,1
dgirl48_ang,jessica_lxy,1
dgirl48_ang,homerecycler,1
dgirl48_ang,fridayluv,1
dgirl48_ang,juliafbt,1
dgirl48_ang,bonniestwit,2
dgirl48_ang,tutu4lulu,2
jaysingh,susiecheng,1
hortovanyi,paul_rasmussen,4
hortovanyi,wendyldavis,2
hortovanyi,nyxpru,4
hortovanyi,harlequinne,2
hortovanyi,mossyy,2
hortovanyi,tarale,2
hortovanyi,sleepydumpling,4
_ldinka,piratkareg,2
_ldinka,englishwebmarks,2
_ldinka,mradiot,2
_ldinka,boristotel,2
_ldinka,kinomelochi,2
_ldinka,akumaneko,2
_ldinka,white_mouse,2
_ldinka,jewelina,2
_ldinka,high_spirits1,2
_ldinka,marseclipse,2
petaronline,johnspears,1
petaronline,themunny,2
petaronline,babybrit,1
petaronline,brunolovesbrit,2
petaronline,stefanbsp,3
petaronline,dizzybunny,1
petaronline,seargee,1
petaronline,kimberleydayle,1
petaronline,sarahbritney,1
in10tionologist,java4two,1
in10tionologist,msfituniverse,1
in10tionologist,lollydaskal,1
in10tionologist,melissazwanger,1
in10tionologist,immachocoholic,1
in10tionologist,coachcarolann,1
in10tionologist,talkdoc2,1
tonerforautism,mrlandmark,1
tonerforautism,1angelinwaiting,1
tonerforautism,folkspod,3
tonerforautism,autismnow,1
tonerforautism,susancrites,1
tonerforautism,butterflywheel,1
czarque,ivyemeraldgowns,1
in10tionologist,jackalopekid,1
in10tionologist,mynetincome,1
in10tionologist,indiewolf,1
in10tionologist,sacredjourneys,1
in10tionologist,adriereinders,1
in10tionologist,debpenner,1
in10tionologist,amalea09,1
rochelleveturis,extractors,1
rochelleveturis,reporterhaley,4
twoshirts,plantwpurpose,1
ciaobella50,thetazzone,1
ciaobella50,ces69,1
ciaobella50,changeisgood1,1
krystalrenee24,core_appler,2
marclehmann,froosh,1
marclehmann,tygerbone,1
marclehmann,ddsd,1
marclehmann,ssharwood,1
marclehmann,fridley,1
marclehmann,aqualung,1
marclehmann,hwijaya,1
marclehmann,kcarruthers,1
marclehmann,corneliu,1
marclehmann,lachlanhardy,1
marclehmann,stephen_m_bell,1
marclehmann,trib,1
fustat,neobot01,2
fustat,voteforiran,2
fustat,shahrzadmo,2
fustat,freehoder,2
fustat,willyong,2
angelinamolluso,tinainmelbourne,1
angelinamolluso,timmy_sabre,1
nanachtoronto,esoterismo,3
nanachtoronto,cybervenus,3
nanachtoronto,naturcounselor,3
nanachtoronto,dawn_abraham,3
nanachtoronto,xatstilo,3
nanachtoronto,mikaelaangel,3
nanachtoronto,dcychan,3
nanachtoronto,life_coach_kim,3
twan_who,ohshizzle,4
twan_who,sohood,2
twan_who,pauseproof,2
twan_who,lildevil689,2
twan_who,silverahnia,2
twan_who,freaknique,2
twan_who,_desimo_,2
twan_who,bkbap,2
twan_who,a_,2
robin_cardstore,yellowgoatetsy,1
jaxlicurse,thetazzone,2
jaxlicurse,iadiedee,1
jaxlicurse,ibeatcancrtwice,1
808manong,lilyfitness,1
808manong,ironbellgym,1
808manong,greatfitness,1
nanachtoronto,flowersophy,1
nanachtoronto,chumeee,1
nanachtoronto,americandream09,1
nanachtoronto,orangy68,1
